Glasser ROI,Cortex,Network,x-MNI,y-MNI,z-MNI,Magnitude
L_7Pm,Superior_Parietal,Frontoparietal,-5,-68,49,0.36
L_8BM,Anterior_Cingulate_and_Medial_Prefrontal,Frontoparietal,-6,33,44,0.3
R_IP2,Inferior_Parietal,Frontoparietal,40,-47,45,0.28
R_7Pm,Superior_Parietal,Frontoparietal,5,-67,50,0.28
L_IP1,Inferior_Parietal,Frontoparietal,-32,-71,39,0.24
L_p47r,Inferior_Frontal,Frontoparietal,-45,43,0,0.24
R_p10p,Orbital_and_Polar_Frontal,Frontoparietal,23,61,1,0.24
L_AVI,Insular_and_Frontal_Opercular,Frontoparietal,-31,25,-4,0.24
R_8BL,Dorsolateral_Prefrontal,Default,11,43,48,0.36
L_9m,Anterior_Cingulate_and_Medial_Prefrontal,Default,-7,54,22,0.34
R_TGd,Lateral_Temporal,Default,35,14,-37,0.24
R_PCV,Posterior_Cingulate,Posterior_Multimodal,5,-52,50,0.33
L_PCV,Posterior_Cingulate,Posterior_Multimodal,-6,-50,48,0.32
L_PHA3,Medial_Temporal,Dorsal_Attention,-34,-35,-21,0.28
R_LIPd,Superior_Parietal,Dorsal_Attention,30,-55,44,0.24
R_PFop,Inferior_Parietal,Cingulo-Opercular,62,-20,23,0.3
R_PSL,Temporo-Parieto-Occipital_Junction,Cingulo-Opercular,64,-37,27,0.29
L_PIT,Ventral_Stream_Visual,Visual2,-47,-77,-11,0.29
R_6v,Premotor,Somatomotor,58,7,31,0.35
R_AAIC,Insular_and_Frontal_Opercular,Orbito-Affective,35,15,-12,0.25
